material,potential_sce_V,potential_she_V,activity_category,source,notes
Magnesium,-1.640,-1.399,A,ASTM G82-98 (2014) / NRL,
Zinc,-1.030,-0.789,B,ASTM G82-98 (2014) / NRL,
Beryllium,-0.960,-0.719,C,ASTM G82-98 (2014) / NRL,
AA 3003-H,-0.790,-0.549,D,ASTM G82-98 (2014) / NRL,
AA 6061-T,-0.760,-0.519,E,ASTM G82-98 (2014) / NRL,
Cadmium,-0.690,-0.449,C,ASTM G82-98 (2014) / NRL,
Carbon Steel,-0.610,-0.369,F,ASTM G82-98 (2014) / NRL,
Cast Iron,-0.610,-0.369,G,ASTM G82-98 (2014) / NRL,
"High-Strength,Low-Alloy Steel (HSLA)",-0.600,-0.359,F,ASTM G82-98 (2014) / NRL,
"Stainless Steel, Type 430, active",-0.570,-0.329,I,ASTM G82-98 (2014) / NRL,Active state (not passivated)
"Stainless Steel, Type 304, active",-0.530,-0.289,K,ASTM G82-98 (2014) / NRL,Active state (not passivated)
"Stainless Steel, Type 410, active",-0.520,-0.279,I,ASTM G82-98 (2014) / NRL,Active state (not passivated)
Austenitic Cast Iron,-0.480,-0.239,G,ASTM G82-98 (2014) / NRL,
Copper Alloy 464 (Naval Rolled Brass),-0.400,-0.159,L,ASTM G82-98 (2014) / NRL,
Copper Alloy 954 (Aluminum Bronze),-0.360,-0.119,M,ASTM G82-98 (2014) / NRL,
Copper,-0.360,-0.119,O,ASTM G82-98 (2014) / NRL,
Copper Alloy 230 (Red Brass),-0.360,-0.119,N,ASTM G82-98 (2014) / NRL,
Tin,-0.325,-0.084,H,ASTM G82-98 (2014) / NRL,
Pb-Sn Solder (50/50),-0.309,-0.068,H,ASTM G82-98 (2014) / NRL,
"Copper Alloy 903 (Bronze, Navy G)",-0.310,-0.069,,ASTM G82-98 (2014) / NRL,
Copper Alloy 442 (Admiralty Brass),-0.290,-0.049,N,ASTM G82-98 (2014) / NRL,
Copper Alloy 863 (Manganese Bronze),-0.290,-0.049,M,ASTM G82-98 (2014) / NRL,
Copper Alloy 706 (90-10 Cu-Ni),-0.280,-0.039,O,ASTM G82-98 (2014) / NRL,
Copper Alloy 710 (80-20 Cu-Ni),-0.270,-0.029,O,ASTM G82-98 (2014) / NRL,
Copper Alloy 655 (Silicon Bronze),-0.270,-0.029,N,ASTM G82-98 (2014) / NRL,
Copper Alloy 770 (Nickel Silver),-0.270,-0.029,O,ASTM G82-98 (2014) / NRL,
Copper Alloy 715 (70-30 Cu-Ni),-0.250,-0.009,O,ASTM G82-98 (2014) / NRL,
"Copper Alloy 922 (Bronze, Navy M)",-0.230,0.011,N,ASTM G82-98 (2014) / NRL,
"Stainless Steel, Type 430, passive",-0.220,0.021,I,ASTM G82-98 (2014) / NRL,Passive state (protective oxide film)
Lead,-0.220,0.021,G,ASTM G82-98 (2014) / NRL,
Copper Alloy 630 (Nickel Aluminum Bronze),-0.190,0.051,M,ASTM G82-98 (2014) / NRL,
Nickel Alloy 200,-0.150,0.091,P,ASTM G82-98 (2014) / NRL,
Titanium (Compressed powder),-0.150,0.091,Q,ASTM G82-98 (2014) / NRL,
Copper Alloy 976 (Nickel Silver Bronze),-0.140,0.101,O,ASTM G82-98 (2014) / NRL,
Silver,-0.130,0.111,R,ASTM G82-98 (2014) / NRL,
Nickel Alloy 600 (Ni-Cr),-0.120,0.121,P,ASTM G82-98 (2014) / NRL,
Titanium (Solid),-0.100,0.141,Q,ASTM G82-98 (2014) / NRL,
"Stainless Steel, Type 304, passive",-0.080,0.161,K,ASTM G82-98 (2014) / NRL,Passive state (protective oxide film)
Nickel Alloy 500 (Monel K500),-0.080,0.161,O,ASTM G82-98 (2014) / NRL,
Nickel Alloy 400 (Monel 400),-0.080,0.161,O,ASTM G82-98 (2014) / NRL,
Nickel Alloy 276 (Hastelloy C),-0.080,0.161,P,ASTM G82-98 (2014) / NRL,
"Stainless Steel, Type 316, passive",-0.050,0.191,K,ASTM G82-98 (2014) / NRL,Passive state (protective oxide film)
Nickel Alloy 20 (Carpenter 20),-0.040,0.201,P,ASTM G82-98 (2014) / NRL,
Nickel Alloy 825 (Incoloy 825),-0.040,0.201,P,ASTM G82-98 (2014) / NRL,
Zirconium,-0.040,0.201,Q,ASTM G82-98 (2014) / NRL,
Gold,0.140,0.381,S,ASTM G82-98 (2014) / NRL,
Platinum,0.150,0.391,S,ASTM G82-98 (2014) / NRL,
Graphite,0.250,0.491,T,ASTM G82-98 (2014) / NRL,
